timestamp,event_type,event_target,task_id,task_size,cycles_per_bit,ddl,criticality,src_node,force_dst_node
300,TASK_SUBMIT,,burst_25,60,10,50,low,n5,
300,TASK_SUBMIT,,burst_26,60,10,50,low,n6,
300,TASK_SUBMIT,,burst_27,60,10,50,low,n7,
300,TASK_SUBMIT,,burst_28,60,10,50,low,n8,
300,TASK_SUBMIT,,burst_29,60,10,50,low,n9,
301,TASK_SUBMIT,,TRIGGER_TASK_PARTIAL,40,10,35,high,n0,
350,TASK_SUBMIT,,cooldown_0,20,10,25,low,n0,
360,TASK_SUBMIT,,cooldown_1,20,10,25,low,n1,
370,TASK_SUBMIT,,cooldown_2,20,10,25,low,n2,
380,TASK_SUBMIT,,cooldown_3,20,10,25,low,n3,
390,TASK_SUBMIT,,cooldown_4,20,10,25,low,n4,
400,TASK_SUBMIT,,cooldown_5,20,10,25,low,n5,
410,TASK_SUBMIT,,cooldown_6,20,10,25,low,n6,
420,TASK_SUBMIT,,cooldown_7,20,10,25,low,n7,
430,TASK_SUBMIT,,cooldown_8,20,10,25,low,n8,
440,TASK_SUBMIT,,cooldown_9,20,10,25,low,n9,
